age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
58.0,self-emp-not-inc,95763.0,some-college,10.0,married-civ-spouse,farming-fishing,husband,white,male,52.5,united-states,<=50k
24.0,private,200593.0,hs-grad,9.0,married-civ-spouse,handlers-cleaners,husband,white,male,50.0,united-states,<=50k
38.0,self-emp-not-inc,282461.0,7th-8th,4.5,married-civ-spouse,sales,husband,white,male,35.0,united-states,>50k
37.0,self-emp-not-inc,154641.0,hs-grad,9.0,never-married,farming-fishing,not-in-family,white,male,52.5,united-states,<=50k
30.0,private,203488.0,hs-grad,9.0,never-married,craft-repair,own-child,white,male,50.0,united-states,<=50k
31.0,private,234976.0,11th,7.0,never-married,adm-clerical,unmarried,white,female,48.0,united-states,<=50k
80.5,private,202188.0,some-college,10.0,divorced,exec-managerial,not-in-family,white,female,50.0,united-states,<=50k
37.0,state-gov,348960.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,36.0,united-states,>50k
35.0,state-gov,98776.0,hs-grad,9.0,never-married,tech-support,own-child,white,male,40.0,united-states,<=50k
49.0,private,198774.0,bachelors,13.0,divorced,sales,other-relative,white,female,35.0,united-states,<=50k
31.0,private,112062.0,bachelors,10.0,never-married,prof-specialty,not-in-family,white,female,40.0,united-states,<=50k
45.0,local-gov,181758.0,masters,14.0,never-married,craft-repair,not-in-family,white,female,40.0,united-states,<=50k
61.0,self-emp-inc,253101.0,some-college,10.0,widowed,sales,not-in-family,white,female,32.5,united-states,<=50k
40.0,private,205047.0,hs-grad,9.0,married-spouse-absent,craft-repair,not-in-family,white,male,40.0,united-states,>50k
25.0,private,66935.0,bachelors,13.0,never-married,other-service,other-relative,white,male,40.0,united-states,<=50k
41.0,federal-gov,153132.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,38.0,united-states,>50k
30.0,private,103651.0,11th,7.0,married-civ-spouse,craft-repair,husband,white,male,35.0,united-states,<=50k
27.0,private,252506.0,some-college,10.0,divorced,exec-managerial,own-child,white,female,40.0,united-states,<=50k
17.0,private,140027.0,11th,7.0,never-married,other-service,own-child,white,female,32.5,united-states,<=50k
27.0,private,185647.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,50.0,united-states,>50k
36.0,private,145933.0,hs-grad,9.0,never-married,exec-managerial,not-in-family,white,male,52.5,united-states,<=50k
76.0,private,98695.0,some-college,10.0,divorced,adm-clerical,not-in-family,white,female,32.5,united-states,<=50k
20.0,private,161978.0,hs-grad,9.0,separated,machine-op-inspct,own-child,white,male,40.0,united-states,<=50k
59.0,private,90290.0,some-college,10.0,married-civ-spouse,prof-specialty,husband,white,male,34.0,united-states,<=50k
49.0,private,403112.0,hs-grad,10.0,divorced,other-service,unmarried,black,female,32.5,united-states,<=50k
26.0,private,101027.0,hs-grad,9.0,married-civ-spouse,sales,husband,white,male,48.0,united-states,<=50k
24.0,private,196943.0,hs-grad,9.0,never-married,sales,own-child,white,male,40.0,united-states,<=50k
35.0,private,320084.0,bachelors,13.0,married-civ-spouse,craft-repair,wife,white,female,52.5,united-states,>50k
80.5,private,182386.0,11th,7.0,divorced,craft-repair,unmarried,white,female,35.0,united-states,<=50k
21.0,private,164920.0,some-college,10.0,never-married,craft-repair,own-child,white,female,40.0,united-states,<=50k
47.0,private,249935.0,11th,7.0,divorced,craft-repair,own-child,white,male,32.5,united-states,<=50k
63.0,private,151210.0,7th-8th,4.5,divorced,sales,not-in-family,white,female,40.0,united-states,<=50k
32.0,private,127451.0,some-college,10.0,married-civ-spouse,prof-specialty,husband,white,male,38.0,united-states,>50k
33.0,federal-gov,117963.0,bachelors,13.0,never-married,adm-clerical,own-child,white,male,38.0,united-states,<=50k
24.0,private,283092.0,hs-grad,9.0,never-married,adm-clerical,other-relative,black,male,40.0,jamaica,<=50k
41.0,private,317539.0,some-college,10.0,married-civ-spouse,craft-repair,husband,black,male,40.0,united-states,<=50k
50.0,self-emp-inc,100029.0,bachelors,13.0,widowed,sales,unmarried,white,male,52.5,united-states,>50k
29.0,private,216481.0,masters,14.0,married-civ-spouse,craft-repair,wife,white,female,40.0,united-states,>50k
67.0,private,231559.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,48.0,united-states,>50k
30.0,private,39150.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,40.0,united-states,<=50k
52.0,private,210736.0,some-college,10.0,married-civ-spouse,exec-managerial,husband,white,male,52.5,united-states,>50k
33.0,private,254221.0,doctorate,16.0,never-married,prof-specialty,not-in-family,white,female,52.5,united-states,>50k
31.0,self-emp-not-inc,80145.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,<=50k
29.0,private,113464.0,hs-grad,9.0,never-married,transport-moving,other-relative,other,male,40.0,dominican-republic,<=50k
35.0,private,342768.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,<=50k
30.0,self-emp-inc,178383.0,some-college,10.0,married-civ-spouse,craft-repair,husband,black,male,52.5,united-states,<=50k
31.0,private,315128.0,some-college,10.0,never-married,adm-clerical,not-in-family,white,female,52.0,united-states,<=50k
32.0,private,125856.0,assoc-acdm,12.0,married-civ-spouse,exec-managerial,husband,white,male,52.5,united-states,>50k
23.0,state-gov,103588.0,some-college,10.0,never-married,adm-clerical,own-child,white,male,32.5,united-states,<=50k
26.0,private,231638.0,some-college,10.0,never-married,craft-repair,own-child,white,female,40.0,united-states,<=50k
42.0,private,226902.0,bachelors,13.0,married-civ-spouse,tech-support,husband,white,male,45.0,united-states,>50k
40.0,private,224232.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,40.0,united-states,>50k
42.0,private,383493.0,some-college,10.0,married-civ-spouse,exec-managerial,husband,white,male,50.0,united-states,>50k
37.0,federal-gov,289653.0,hs-grad,9.0,married-civ-spouse,adm-clerical,husband,white,male,50.0,united-states,>50k
21.0,private,83141.0,hs-grad,9.0,never-married,farming-fishing,not-in-family,white,male,52.5,united-states,<=50k
39.0,private,31670.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,52.5,united-states,<=50k
39.0,local-gov,153976.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,40.0,united-states,>50k
57.0,private,361324.0,10th,6.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,<=50k
28.0,private,55360.0,some-college,10.0,never-married,craft-repair,not-in-family,black,male,40.0,united-states,<=50k
21.0,private,199698.0,hs-grad,9.0,never-married,farming-fishing,own-child,white,male,45.0,united-states,<=50k
50.0,local-gov,124076.0,bachelors,13.0,married-civ-spouse,prof-specialty,wife,white,female,40.0,united-states,>50k
51.0,self-emp-not-inc,268639.0,some-college,10.0,married-civ-spouse,prof-specialty,wife,white,female,52.5,canada,<=50k
37.0,private,222450.0,11th,7.0,married-spouse-absent,other-service,other-relative,white,male,40.0,el-salvador,<=50k
41.0,private,242586.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,40.0,united-states,<=50k
21.0,private,255685.0,some-college,10.0,never-married,other-service,own-child,black,male,40.0,outlying-us(guam-usvi-etc),<=50k
39.0,private,121590.0,some-college,10.0,never-married,prof-specialty,not-in-family,black,male,40.0,united-states,>50k
33.0,private,205649.0,assoc-acdm,12.0,married-spouse-absent,craft-repair,not-in-family,white,male,32.5,united-states,<=50k
42.0,private,135056.0,some-college,10.0,married-civ-spouse,adm-clerical,wife,white,female,40.0,united-states,<=50k
39.0,local-gov,43702.0,assoc-voc,11.0,married-civ-spouse,adm-clerical,wife,white,female,37.0,united-states,<=50k
62.0,self-emp-not-inc,159939.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,35.0,united-states,<=50k
41.0,self-emp-not-inc,134130.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,52.5,united-states,<=50k
42.0,private,168515.0,assoc-voc,10.0,divorced,prof-specialty,not-in-family,white,female,40.0,united-states,<=50k
23.0,private,313573.0,bachelors,13.0,never-married,sales,own-child,black,female,32.5,united-states,<=50k
40.0,private,153372.0,some-college,10.0,married-civ-spouse,sales,husband,white,male,50.0,united-states,>50k
32.0,private,244147.0,hs-grad,9.0,never-married,craft-repair,unmarried,white,male,32.5,united-states,<=50k
32.0,private,63564.0,hs-grad,10.0,never-married,craft-repair,own-child,black,female,40.0,united-states,<=50k
56.0,local-gov,255406.0,hs-grad,10.0,divorced,exec-managerial,not-in-family,white,female,40.0,united-states,<=50k
41.0,private,107276.0,assoc-voc,11.0,never-married,prof-specialty,not-in-family,white,female,45.0,united-states,<=50k
39.0,federal-gov,376455.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,50.0,united-states,>50k
20.0,private,390817.0,5th-6th,4.5,never-married,handlers-cleaners,not-in-family,white,male,32.5,mexico,<=50k
39.0,federal-gov,243872.0,assoc-acdm,12.0,never-married,prof-specialty,not-in-family,white,male,40.0,united-states,>50k
27.0,private,416720.25,5th-6th,4.5,married-civ-spouse,transport-moving,husband,white,male,40.0,mexico,<=50k
33.0,private,196266.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,>50k
23.0,private,116830.0,12th,8.0,never-married,craft-repair,not-in-family,white,male,50.0,united-states,<=50k
17.0,private,191260.0,9th,5.0,never-married,other-service,own-child,white,male,32.5,united-states,<=50k
48.0,private,118023.0,prof-school,15.0,divorced,sales,not-in-family,white,male,32.5,united-states,<=50k
46.0,private,129007.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,40.0,united-states,>50k
42.0,local-gov,328581.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,52.5,united-states,<=50k
46.0,private,114797.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,wife,black,female,36.0,united-states,<=50k
41.0,state-gov,355756.0,some-college,10.0,never-married,prof-specialty,not-in-family,white,male,40.0,united-states,<=50k
39.0,private,181661.0,hs-grad,9.0,married-civ-spouse,handlers-cleaners,husband,white,male,40.0,united-states,<=50k
34.0,private,70466.0,assoc-voc,11.0,divorced,craft-repair,not-in-family,white,male,40.0,united-states,<=50k
45.0,private,44489.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,45.0,united-states,<=50k
31.0,private,133861.0,assoc-acdm,12.0,divorced,exec-managerial,not-in-family,white,male,40.0,united-states,<=50k
38.0,private,129150.0,10th,6.0,separated,craft-repair,own-child,white,male,35.0,united-states,<=50k
46.0,private,98350.0,10th,6.0,married-spouse-absent,other-service,not-in-family,asian-pac-islander,male,37.0,china,<=50k
54.0,self-emp-not-inc,212165.0,hs-grad,9.0,married-civ-spouse,sales,husband,white,male,52.5,united-states,<=50k
41.0,private,124956.0,bachelors,13.0,separated,prof-specialty,not-in-family,black,female,52.5,united-states,>50k
46.0,self-emp-inc,182655.0,assoc-voc,11.0,married-civ-spouse,exec-managerial,husband,white,male,52.5,united-states,>50k
32.0,private,262153.0,hs-grad,9.0,divorced,craft-repair,unmarried,white,male,35.0,united-states,<=50k
23.0,private,283796.0,12th,8.0,never-married,machine-op-inspct,other-relative,white,male,32.5,mexico,<=50k
17.0,private,63734.0,10th,6.0,never-married,handlers-cleaners,own-child,white,male,32.5,united-states,<=50k
80.5,private,191917.0,assoc-acdm,12.0,divorced,adm-clerical,unmarried,white,female,40.0,united-states,<=50k
52.0,private,117700.0,hs-grad,9.0,divorced,adm-clerical,not-in-family,white,female,40.0,united-states,<=50k
38.0,private,380543.0,hs-grad,9.0,never-married,other-service,unmarried,black,female,32.5,united-states,<=50k
43.0,local-gov,188291.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,45.0,united-states,>50k
80.5,self-emp-inc,116358.0,bachelors,13.0,married-civ-spouse,sales,husband,asian-pac-islander,male,50.0,united-states,>50k
36.0,private,111499.0,masters,14.0,never-married,exec-managerial,not-in-family,white,female,40.0,united-states,>50k
36.0,private,198237.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,50.0,united-states,>50k
25.0,private,208591.0,bachelors,13.0,never-married,prof-specialty,own-child,white,male,40.0,united-states,<=50k
30.0,local-gov,102130.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,<=50k
45.0,private,306889.0,bachelors,10.0,married-civ-spouse,exec-managerial,wife,white,female,40.0,united-states,>50k
45.0,private,107682.0,masters,10.0,divorced,exec-managerial,not-in-family,white,female,40.0,united-states,>50k
26.0,private,164583.0,hs-grad,9.0,divorced,craft-repair,unmarried,white,female,32.5,united-states,<=50k
26.0,private,176008.0,hs-grad,9.0,divorced,adm-clerical,own-child,white,female,40.0,united-states,<=50k
54.0,private,155408.0,hs-grad,9.0,widowed,handlers-cleaners,unmarried,white,female,40.0,united-states,<=50k
39.0,self-emp-not-inc,154641.0,hs-grad,9.0,divorced,farming-fishing,not-in-family,white,male,50.0,united-states,>50k
19.0,private,371827.0,hs-grad,9.0,never-married,craft-repair,own-child,white,male,40.0,portugal,<=50k
44.0,private,167005.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,52.5,united-states,>50k
47.0,self-emp-inc,239321.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,40.0,united-states,>50k
34.0,private,245173.0,hs-grad,9.0,divorced,sales,not-in-family,white,male,45.0,united-states,<=50k
47.0,private,119939.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,>50k
23.0,private,133515.0,hs-grad,9.0,never-married,other-service,not-in-family,white,female,35.0,united-states,<=50k
33.0,private,202498.0,7th-8th,4.5,separated,craft-repair,not-in-family,white,male,40.0,other-merged,<=50k
28.0,private,416720.25,bachelors,13.0,never-married,craft-repair,own-child,black,male,40.0,united-states,<=50k
20.0,private,211968.0,some-college,10.0,never-married,prof-specialty,own-child,white,female,32.5,united-states,<=50k
45.0,private,197038.0,bachelors,13.0,divorced,prof-specialty,not-in-family,white,male,50.0,united-states,>50k
35.0,private,182467.0,assoc-voc,10.0,married-civ-spouse,craft-repair,wife,white,female,44.0,united-states,<=50k
17.0,private,151141.0,11th,7.0,never-married,handlers-cleaners,own-child,white,male,32.5,united-states,<=50k
26.0,private,288592.0,hs-grad,9.0,never-married,craft-repair,not-in-family,white,female,40.0,united-states,<=50k
25.0,private,416720.25,bachelors,13.0,never-married,prof-specialty,not-in-family,white,female,32.5,united-states,<=50k
20.0,private,226978.0,hs-grad,9.0,never-married,other-service,own-child,white,male,35.0,united-states,<=50k
50.0,private,192964.0,hs-grad,9.0,divorced,sales,unmarried,white,female,52.5,united-states,<=50k
57.0,local-gov,174132.0,masters,14.0,married-civ-spouse,craft-repair,wife,black,female,40.0,united-states,>50k
17.0,private,143791.0,10th,6.0,never-married,other-service,own-child,black,female,32.5,united-states,<=50k
26.0,private,188767.0,bachelors,13.0,never-married,sales,own-child,white,male,40.0,united-states,<=50k
51.0,state-gov,237141.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,40.0,united-states,>50k
43.0,private,151089.0,some-college,10.0,married-civ-spouse,transport-moving,husband,white,male,50.0,united-states,<=50k
19.0,private,263338.0,some-college,10.0,never-married,craft-repair,own-child,white,male,45.0,united-states,<=50k
33.0,private,119918.0,bachelors,13.0,never-married,craft-repair,not-in-family,black,male,45.0,united-states,<=50k
21.0,private,163911.0,some-college,10.0,never-married,craft-repair,own-child,white,female,32.5,united-states,<=50k
23.0,private,224954.0,some-college,10.0,never-married,machine-op-inspct,own-child,white,male,32.5,united-states,<=50k
44.0,private,303521.0,some-college,10.0,divorced,craft-repair,not-in-family,white,male,40.0,united-states,<=50k
19.0,private,100009.0,hs-grad,9.0,never-married,craft-repair,not-in-family,white,female,40.0,united-states,<=50k
46.0,private,229394.0,hs-grad,9.0,divorced,exec-managerial,not-in-family,white,female,40.0,united-states,<=50k
80.5,private,232808.0,10th,6.0,divorced,other-service,not-in-family,white,male,32.5,united-states,<=50k
61.0,private,203126.0,bachelors,10.0,divorced,craft-repair,not-in-family,white,female,32.5,united-states,<=50k
31.0,private,176360.0,hs-grad,9.0,never-married,craft-repair,own-child,black,male,40.0,united-states,<=50k
67.0,self-emp-inc,116517.0,bachelors,13.0,widowed,other-service,unmarried,white,female,35.0,united-states,<=50k
27.0,private,177761.0,some-college,10.0,married-civ-spouse,farming-fishing,husband,other,male,50.0,united-states,<=50k
48.0,private,169324.0,hs-grad,9.0,never-married,other-service,unmarried,black,female,32.5,haiti,<=50k
26.0,private,305304.0,11th,7.0,married-civ-spouse,machine-op-inspct,husband,white,male,40.0,united-states,<=50k
31.0,private,416720.25,bachelors,13.0,married-civ-spouse,exec-managerial,husband,black,male,40.0,united-states,>50k
31.0,private,206541.0,some-college,10.0,married-civ-spouse,adm-clerical,husband,white,male,40.0,united-states,<=50k
40.0,private,259307.0,some-college,10.0,never-married,exec-managerial,not-in-family,white,male,50.0,united-states,<=50k
59.0,self-emp-not-inc,201263.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,52.5,united-states,>50k
32.0,state-gov,104509.0,hs-grad,10.0,divorced,other-service,not-in-family,white,female,32.5,united-states,<=50k
24.0,local-gov,117109.0,bachelors,13.0,never-married,adm-clerical,own-child,black,female,32.5,united-states,<=50k
32.0,private,200246.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,40.0,united-states,>50k
27.0,private,36851.0,assoc-voc,11.0,married-civ-spouse,sales,husband,white,male,35.0,united-states,<=50k
36.0,local-gov,61778.0,hs-grad,9.0,married-civ-spouse,prof-specialty,husband,white,male,40.0,united-states,>50k
42.0,private,137390.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,<=50k
21.0,private,252024.0,hs-grad,9.0,never-married,handlers-cleaners,other-relative,white,male,32.5,mexico,<=50k
43.0,local-gov,337469.0,some-college,10.0,divorced,craft-repair,not-in-family,white,female,32.5,mexico,<=50k
80.5,private,292019.0,7th-8th,4.5,married-civ-spouse,craft-repair,husband,white,male,32.5,united-states,<=50k
53.0,private,208321.0,hs-grad,9.0,married-civ-spouse,other-service,husband,black,male,40.0,united-states,<=50k
46.0,private,59767.0,some-college,10.0,divorced,sales,not-in-family,white,male,50.0,united-states,<=50k
50.0,federal-gov,69614.0,10th,6.0,separated,craft-repair,not-in-family,white,male,52.5,united-states,<=50k
80.5,private,383745.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,32.5,united-states,>50k
39.0,self-emp-inc,202937.0,masters,14.0,married-civ-spouse,prof-specialty,wife,white,female,40.0,united-states,>50k
44.0,private,175641.0,11th,7.0,married-civ-spouse,sales,husband,white,male,40.0,united-states,>50k
31.0,private,323069.0,hs-grad,9.0,separated,adm-clerical,unmarried,white,female,32.5,united-states,<=50k
57.0,federal-gov,42298.0,masters,14.0,married-civ-spouse,exec-managerial,husband,black,male,40.0,united-states,>50k
58.0,private,156040.0,assoc-acdm,12.0,married-civ-spouse,machine-op-inspct,husband,black,male,40.0,united-states,>50k
34.0,private,295855.0,11th,7.0,divorced,other-service,not-in-family,white,female,52.5,united-states,<=50k
44.0,private,267717.0,masters,14.0,married-civ-spouse,craft-repair,husband,white,male,45.0,united-states,>50k
49.0,self-emp-inc,44671.0,assoc-acdm,12.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,>50k
48.0,private,185079.0,hs-grad,9.0,never-married,exec-managerial,not-in-family,white,female,50.0,united-states,<=50k
37.0,private,329026.0,hs-grad,9.0,married-civ-spouse,adm-clerical,wife,white,female,40.0,united-states,>50k
63.0,self-emp-not-inc,404547.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,32.5,united-states,<=50k
31.0,private,193477.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,52.5,united-states,<=50k
46.0,local-gov,125457.0,masters,14.0,married-civ-spouse,prof-specialty,husband,black,male,38.0,united-states,>50k
35.0,private,225860.0,assoc-voc,11.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,>50k
27.0,private,31659.0,bachelors,13.0,married-civ-spouse,machine-op-inspct,husband,white,male,52.5,united-states,>50k
34.0,private,223678.0,hs-grad,9.0,never-married,other-service,unmarried,amer-indian-eskimo,female,32.5,united-states,<=50k
31.0,private,172304.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,50.0,united-states,>50k
38.0,self-emp-inc,176357.0,hs-grad,9.0,married-civ-spouse,exec-managerial,husband,white,male,50.0,united-states,<=50k
65.0,local-gov,205024.0,hs-grad,9.0,married-civ-spouse,other-service,husband,white,male,32.5,united-states,<=50k
50.0,private,132716.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,40.0,united-states,>50k
27.0,private,31757.0,assoc-voc,11.0,never-married,craft-repair,own-child,white,male,38.0,united-states,<=50k
36.0,self-emp-not-inc,408427.0,prof-school,15.0,married-civ-spouse,prof-specialty,husband,white,male,52.5,united-states,>50k
